,tweets,classification
421,sun view super typhoon haiyan cat 5 storm gust 200mph near philippin,situational_update
422,zoomedin visibl satellit imageri danger super typhoon haiyan,situational_update
423,super typhoon come today ok,situational_update
424,thank lot prepar super typhoon hit 36 hour,situational_update
425,super typhoon yolanda let prepar let pray safeti care,emotional_support
426,pagasa close monitor yolanda haiyan intern,situational_update
427,visaya prepar tomorrow super typhoon isnt joke signal 4,situational_update
428,endless protest ralli bangkok super typhoon philippin lot go pray,emotional_support
429,prepar super typhoon yolanda,situational_update
430,let pray hurt super typhoon yonlanda,emotional_support
431,ungrad research super typhoon haiyan biggest storm 2013 season far perfectli,situational_update
432,voic russia super typhoon forecast hit philippin thursday author ground ferri serviv,situational_update
433,super typhoon super typhoon haiyan 175 mph gust 210 move philippin scari,situational_update
434,typhoon haiyan head philippin video,situational_update
435,sever weather bulletin number tropic cyclon warn typhoon yolandahaiyan issu 1100,situational_update
436,philippin author ground ferri servic fish boat typhoon haiyan approach,situational_update
437,pray stay safe super typhoon care readi,emotional_support
438,here 5 day typhoon forecast super typhoon haiyan aka yolanda safe everybodi,situational_update
439,ask follow twitter account pray super typhoon calm thank god bless haiyan,emotional_support
440,super typhoon come good care 247 god bless,emotional_support
441,live updat typhoon yolanda,situational_update
442,unfccc meet directli lead typhoon hit philippin,situational_update
443,super typhoon foodgasm photooftheday potd instafollow instadaili iphoneonli likeforlik,situational_update
444,hello goodafternoon let pray incom super typhoon yolanda grouptweet,emotional_support
445,stun imag super typhoon haiyan head philippin million danger,situational_update
446,dtn mongolia philippin author ground ferri servic fish boat typhoon haiyan approach,situational_update
447,super typhoon haiyan yolanda pray bring terribl damag peopl lord protect amen,emotional_support
448,guy ask makakabasa neto pray super typhoon calm thank godbless haiyan yolanda,emotional_support
449,philippin brace super typhoon strongest year thought,situational_update
450,super typhoon haiyan impact yap state republ palau typhoon warn effect part,situational_update
451,philippin author ground ferri servic fish boat typhoon haiyan approach io ios7,situational_update
452,probinsya aklan nakaheighten alert super typhoon yolanda boracay hayahay yesfmboracay,situational_update
453,oh shit super typhoon hit philippin bigger hurrican katrina,situational_update
454,nasa see heavi rain supertyphoon haiyan eye,situational_update
455,biggest storm world year head philippin super typhoon haiyan like stron,situational_update
456,pa love oneshow stay safe super storm hit,emotional_support
457,hope homeless peopl safe super typhoon yolandaupd,emotional_support
458,cebu start feel effect yolanda tonight pagasa share,situational_update
459,super typhoon come,situational_update
460,haiyan fast strength quickli leav countri supertyphoon philippin yolanda,situational_update
461,super typhoon rock senat blue ribbon committe hear,situational_update
462,p1eas care super typhoon pray countryman fami1i we11 stay safe wi11 readi he1p need,emotional_support
463,super typhoon haiyan intensifi move philippin,situational_update
464,pray belov homeland philippin especi cebu citi encount super typhoon yolanda,emotional_support
465,ill leav tonight close satellit view super typhoon haiyan wind top 280kmh,situational_update
466,wala rin kame nararamdaman hagupit super typhoon yolanada yolandaph,situational_update
467,reuter environew philippin brace super typhoon strongest year,situational_update
468,path super typhoon philippin let prepar vigil stay safe,emotional_support
469,pgfg super typhoon yolanda pagasa latest weather updat,situational_update
470,reuter philippin brace super typhoon strongest year worldnew aaaw,situational_update
471,typhoon haiyan make landfal vietnam buti categori 1 lang,situational_update
472,help typhoon haiyan survivor,call_for_action
473,thought prayer million peopl affect typhoon haiyan,emotional_support
474,kill thousand philippin typhoon haiyan hit vietnam night talk hanoi,situational_update
475,typhoon haiyan believ biggest storm landfal deni climat chang peril,situational_update
476,join donat fund help philippin recov typhoon haiyan jfnaga,donation
477,haiyan typhoon come philippin mindanao name zoraida omg safewel pray guy philippin,situational_update
478,relief effort ground assist victim haiyan donat 10 text typhoon 80888 onlin,donation
479,photo super typhoon haiyan devast central philippin,situational_update
480,good way help filipino devast typhoon haiyan world vision red cross,donation
481,help typhoon haiyan relief effort,call_for_action
482,video halifax filipino commun worri famili typhoon haiyan report,situational_update
483,support andhow help typhoon haiyan survivor,donation
484,repost way help victim yolandaph haiyan reliefph ht,donation
485,typhoon haiyan biggest world tropic storm gather forc,situational_update
486,typhoon haiyan worst katrina prayforthephilippin,emotional_support
487,photo typhoon haiyan slam phillipin galleri,situational_update
488,super typhoon haiyan pass philippin approach vietnam,situational_update
489,ucwradio devast stall typhoon haiyan relief effort news,situational_update
490,help typhoon haiyan survivor tcodvxuadisdr hmrd cb,call_for_action
491,text donat 20222 donat 10 support work help kid affect typhoon haiyanyolanda standard rat,donation
492,text keyword redcross roug 30333 ur mobil phone donat 5 cdn red cross support typhoon haiyan fund,donation
493,let share pleasehow help philippin typhoon haiyan,call_for_action
494,help typhoon relief philippin,call_for_action
495,video super typhoon haiyan leaf 10 000 bodi lie street philippin citi chicago news,situational_update
496,need pray,emotional_support
497,wors hell typhoonravag philippin,situational_update
498,blue caus project 4 fan site help victim super typhoon haiyanyolanda philippin,call_for_action
499,10 000 peopl fear dead philippin reel catastroph damag typhoon haiyan,situational_update
500,follow philippin typhoon haiyan here help,call_for_action
501,10k dead peopl super typhoon gosh awar what happen visaya region,situational_update
502,thought prayer philippin affect typhoon haiyan stay strong,emotional_support
503,typhoon haiyan continu scourg southeast asia,situational_update
504,typhoon yolanda haiyan relief,situational_update
505,great news canadian govern announc match donationhaiyan donat,situational_update
506,typhoon haiyan desper survivor destruct flatten citi,situational_update
507,help typhoon haiyan survivor legitim fund,call_for_action
508,fm deep condol peopl philippin australian govern work aid packag,donation
509,pain look 31 devast imag typhoon haiyan destruct,situational_update
510,respond catastroph super typhoon,situational_update
511,blue caus donationvictim super typhoon haiyanyolanda philippin,situational_update
512,typhoon haiyan corp float water hung tree lay debri,situational_update
513,typhoon haiyan make landfal vietnam,situational_update
514,hope couldshar thank u help helpphilippin haiyan yolandaph,call_for_action
515,typhoon haiyantyphoon yolanda recoveri help,call_for_action
516,call canadian help support peopl affect typhoon haiyan match fund,donation
517,join prayer peopl philippinesthes peopl lost thing typhoon,emotional_support
518,aftermath super typhoon haiyan,situational_update
519,friend let pray victim super typhoon yolanda fellow filipino need let send donatio,emotional_support
520,blog typewrit help peopl philippin affect typhoon yolanda haiyan,donation
521,vietnam evacu 600k hainan yolandaph near,situational_update
522,philippin govern claim secur biggest issu rescu support survivor,situational_update
523,chariti right donat chang philippin typhoon haiyan relief reliefph,donation
524,weve got staff philippin respond typhoonhaiyan read donat,donation
525,here help peopl impact typhoon haiyan,donation
526,great piec harper measli donationtyphoon haiyan victim,donation
527,devast stall typhoon haiyan relief effort,situational_update
528,salvationarmi serv survivor typhoon haiyan latest info way,situational_update
529,look way provid aid typhoonhaiyan read chariti,donation
530,typhoon haiyan slam northern vietnam,situational_update
531,thought prayer peopl philippin affect typhoon haiyan,emotional_support
532,iglesia cristo refus shelter super typhoon haiyan victim philippin hope hoax,situational_update
533,chill photo come philippines10 000 peopl fear dead typhoonhaiyan,situational_update
534,latest day super typhoon haiyan rip philippin countri begin,situational_update
535,philippin super typhoon haiyan power storm histori warn graphic content survivor typhoon haiyan citi,situational_update
536,deep condol peopl philippin au gov work aid packag,situational_update
537,heart prayer go famili member typhoon haiyan victim philippin approx 10000 peopl die tacloban,emotional_support
538,govt match dollar donat canadian regist chariti typhoon haiyan relief,donation
539,latest day super typhoon haiyan rip philippin count,situational_update
540,huffingtonpost typhoon haiyan death toll top 10 0 accord offici estim peopl noteradcom,situational_update
541,help victim typhoon haiyan intern organ,donation
542,typhoon haiyan recoveri philippin help,call_for_action
543,follow philippin typhoon haiyan here help rememb friend need,call_for_action
544,cnn list help yolandaph victim,call_for_action
545,deploy philippin launch immedi fundrais appeal respons typhoon haiyan,situational_update
546,terribl news philippin massiv devast typhoon haiyan help,call_for_action
547,super typhoon haiyanyolanda typhoon huracn,situational_update
548,continu pray effect tragic typhoon philippin,emotional_support
549,catch news pray affect typhoon haiyan hit philippin,emotional_support
550,worker watch recap horrif news coverag aftermath super typhoon,situational_update
551,prayer v action prayer action mariannewilliamson philippin need help,emotional_support
552,weve move terribl impact typhoon haiyan philippin donat 25 000 support,situational_update
553,red cross accept donationasssit affect phillipinestyphoon haiyan appeal power human,donation
554,help typhoon haiyan survivor support lifesav medicin peopl need donat,donation
555,armi vietnam strongest typhoon year haiyan vietnampleas safe onelov,situational_update
556,bangonpina ask join prayer victim typhoon haiyan yolanda especi,situational_update
557,photo aerial view damag leyt philippin follow super typhoon haiyan,situational_update
558,phillippin 10 000 fear dead typhoonhaiyan 4 million impact video power storm ev,situational_update
559,typhoon haiyan landfal vietnam quang ninh provinc,situational_update
560,incred sad 31 devast imag typhoon haiyan destruct,situational_update
561,super typhoon haiyan smash philippin caus havoc send experi stay safe,situational_update
562,pictur devast impact typhoon haiyan,situational_update
563,ottawa match canadian donationtyphoon haiyan relief effort minist say,donation
564,pledg help onlin yolandaph disast respons,call_for_action
565,bbc news typhoon haiyan make landfal vietnam,situational_update
566,slide typhoon haiyan devast,situational_update
567,today drank fresh water wore clean cloth roof head help typhoon haiyan victim,call_for_action
568,person finder resourc super typhoon yolanda,call_for_action
569,yare typhoon haiyan philippin destruct absolut bedlam bbc news bbc newstyphoon haiyan philip yare,situational_update
570,ask join prayer victim typhoon haiyan yolanda especi belov island,emotional_support
571,aerial shot leyt person ass extent damag brought super typhoon yolandaph ryan lim,situational_update
572,check typhoon haiyan philippin destruct absolut bedlam bbc news bbc news onlin twitter,situational_update
573,typhoon haiyan philippin destruct absolut bedlam bbc news bbc newstyphoon haiyan philippin dest,situational_update
574,canadian donat typhoon haiyan fund canadian govern match,donation
575,philippin fear massiv death toll typhoon haiyan wreak havoc,situational_update
576,etelet liaf typhoon haiyan philippin destruct absolut bedlam bbc news bbc ne googlenew,situational_update
577,roww join forc help victim typhoon haiyan,call_for_action
578,statement presid obama super typhoon haiyanyolanda yolanda,situational_update
579,iglesia cristo refus shelter super typhoon haiyan victim philippin,call_for_action
580,huge challeng philippin aftermath deadli typhoon haiyan,situational_update
581,fb typhoon haiyan philippin destruct absolut bedlam bbc news bbc newstyphoon haiy,situational_update
582,light recent tragedi brought supertyphoon haiyan way help,situational_update
583,typhoon haiyan batter philippin,situational_update
584,typhoon haiyan destruct toll stun philippin,situational_update
585,pray vietnam filiphin countri typhoon haiyan,situational_update
586,super typhoon haiyan compar hurrican andrew,situational_update
587,typhoon haiyan aid effort complic storm destruct,situational_update
588,portland base merci corp send team respond typhoon haiyan philippin photo,situational_update
589,haiyan like help,call_for_action
590,assist devast area philippin typhoonhaiyan aseannew,situational_update
591,ppl affect typhoon haiyan popul sydney melbourn adelaid combin,situational_update
592,look donat victim typhoon haiyan suggest phillippin page,donation
593,super typhoon haiyan 10 000 dead inna lillahi wa inna illahi rajeeun,situational_update
594,famili affect devast super typhoon haiyan yolanda pm gmail,situational_update
595,heartach heartbreak compil list help share yolandaph reliefph rescueph,emotional_support
596,true filipino help especi kind disast,emotional_support
597,verifi legit way help yolandaph victim,donation
598,legit way help philippin,donation
599,save shop entir countri pray philippin particularli victim typhoon,emotional_support
600,peopl prove righteou yolanda haiyan philippin,situational_update
601,legit way help super typhoon haiyan yolanda victim donat volunt legitim organ,donation
602,happi hear survivor come super typhoon yolanda haiyaninclud famili membersno food water money,situational_update
603,verifi legit way help super typhoon haiyan yolanda victim donat volunt legitim,donation
604,thought prayer affect super typhoon haiyan yolanda call,emotional_support
605,aftermath super typhoon yolanda haiyan heartbreak horrif hope help pray yolandaph haiyan strongerph,situational_update
606,verifi legitim way help yolandaph haiyan victim donat volunt photo horrif,donation
607,weve seen recent devast central philippin way way,situational_update
608,judi good link chariti help phillipino typhoon victim hope help god bless traviss,donation
609,help victim super typhoon haiyan yolanda donat volunt,donation
610,donat food cloth victim super typhoon haiyan yolanda,donation
611,watch video inform super typhoon haiyan yolanda form microwav puls,situational_update
612,pope franci ask pray victim super typhoon haiyanyolanda,emotional_support
613,sympathi victim super typhoon haiyan yolanda,emotional_support
614,verifi legit way help super typhoon haiyan yolanda victim donat volunt w legitim org,donation
615,verifi legit way help super typhoon haiyan yolanda victim donat volunt w legitim org htt,donation
616,super typhoon haiyan yolanda ruin philippin world cover,situational_update
617,photo haiyan relief help super typhoon haiyan local known yolanda arriv,situational_update
618,help victim super typhoon haiyan yolanda thank philippin,call_for_action
619,imkiddinq recent heard philippin hit super typhoon haiyan yolanda,situational_update
620,super typhoon yolanda haiyan like nightmar yolandaph bangonpilipina,situational_update
621,tacloban citi super typhoon haiyan yolanda phil,situational_update
622,legit way help,donation
623,verifi legit way help super typhoon haiyan victim donat volunt legitim organ,donation
624,tuloy rin gawad kalinga rfm gym tomorrow start 830am upto 12am chanc help,donation
625,disast situat map pl help tnx,call_for_action
626,rizal capitol pasig huge cant govt use evacu center,situational_update
627,pl volunt need marikina sport center,call_for_action
628,bring donationmajor relief center access logist resourc,donation
629,rais roof megat meralco avebr php100a surviv kit water can goodsnoodlesbiscuit,donation
630,skill want help map miss person buzz andor,call_for_action
631,red cross offici start stock foodwat 3 day famili gallon water daymemb,situational_update
632,resid villa antonio compound bambang pasig need relief good hope send,donation
633,dr zorba bautista 09178951709 022111545 organ relief medic mission weekend tanay,call_for_action
634,help rfm right admu yeah,call_for_action
635,know volunt schedul contact 5270862,call_for_action
636,lbc accept noncash donationworldwid pickup box mark lbchari padala,donation
637,enderun commun drive need egg can good instanoodl biscuit milk juic,donation
638,saychiz glaxosmithklin gsk donat relief good 4 ondoy victim text th number 4 medicin need 09178944624,donation
639,appeal coordin relief effort,call_for_action
640,glaxosmithklin gsk donat relief good 4 ondoy victim text th number 4 medicin need 09178944624,donation
641,miss person databas,situational_update
642,aid campaign victim phillipin,situational_update
643,support filipino unit add avatar,situational_update
644,start stock foodwat 3 day famili gallon water daymemb,situational_update
645,rais roof gig megat rais 80k cash ton cloth can good rock good job,situational_update
646,roofgig megat rais 80k cash ton cloth can goodsrock good job,situational_update
647,visit help victim,call_for_action
648,philippin ondoy aftermath reliefweb press releas,situational_update
649,donat relief effort help rebuild life suffer flood,donation
650,need truck pick thousand h20 bottl contact 09178570987 jessi,call_for_action
651,vwcp car club accept donationflood victim direct paypal contribut donat,donation
652,midnight tonit admu oper temporarili halt bank donationcontinu volunt stay safe,situational_update
653,vwcp car club accept donation4 flood victim u direct yr paypal contribut 2 donat,donation
654,filipino techi oversea help victim usbas chariti u recommend,donation
655,philippin flood respond natur disast real time,situational_update
656,peopl stock upshop 4 donationrobinson galleria crowd can good unimart hypermart,situational_update
657,4 ppl stock upshop 4 donationrob galleria crowdedno can good unimart hypermart,situational_update
658,sum idea 2 help victim typhoon philippin,situational_update
659,red cross shaw blvd tonight dont need volunt tomorrow morn instead,situational_update
660,idea help victim philippin typhoon,situational_update
661,signal 2 60100 kph wind hoist catanduan,situational_update
662,museo pambata relief effort help child school affect typhoon,donation
663,list center send donationvictim need help support,call_for_action
664,shopwis cubao wellstock need stock,situational_update
665,typhoon watch presscon pagasa halo kase dami ulan ondoy dala typhoon juan ma malaka hangin juan kay ondoy,situational_update
666,presscon pagasa halo ksing dami ulan ondoy dala typhoon juan ma malaka hangin juan kay ondoy,situational_update
667,typhoon watch presscon pagasa halo kase dami ulan ondoy cont,situational_update
668,presscon pagasa halo kase dami ulan ondoy dala typhoon juan ma cont,situational_update
669,typhoon watch presscon pagasa halo kase dami ulan ondoy dala typhoon cont,situational_update
670,typhoon watch presscon pagasa halo kase dami ulan ondoy dala cont,situational_update
671,presscon pagasa halo kase dami ulan ondoy dala typhoon juan,situational_update
672,abscbnnewscom megi typhoon bring ondoylik rain,situational_update
673,want antipolo pa sumulong hiway masinag flood impass pl,call_for_action
674,good news pl better day ahead pagasa 1220pm advisori rainfal warn signal metro manila termin,emotional_support
675,heavi traffic white plain edsa southbound cubao altern rout white plain avenu,situational_update
676,646am moder heavi rain balanga citi,situational_update
677,cvg alabang current accept donationvictim flood small thing definit far godbless,donation
678,853pm announc dzmm teleradyo class level laguna suspend tomorrow august 10,situational_update
679,pagasa lower weather alert yellow orang mean,situational_update
680,adm02 valenzuela citi suspend class preschool high school public privat includ public colleg tomor,situational_update
681,nb edsa santolan cubao move alt rout santolan,situational_update
682,pl help gemini st villariva subd stodomingo cainta rizal strand aprtmnt,call_for_action
683,hi ann wsomeon help appreci 517 ilang ilang st bayanihan vill cainta,call_for_action
684,flood ale quezon ave biak bato eastbound passabl type vehicl 525 pm,call_for_action
685,ateneo h kitchen need mediums sando plastic bag pack food pl drop ah caf,donation
686,pagasa 430pm advisori red warn metro manila expect heavi intens rain occasion torrenti rain,situational_update
687,level class friday qc,situational_update
688,philippin ramp flood relief effort way help hundr thousand peopl displac de,donation
689,palac suspend class aug 9 metro manila,situational_update
690,philippin red cross cavit chapter accept donationvictim recent flood urgent,donation
691,pl help friend 414 nativ st st gregori villag cainta rizal nhila mallari 09178802083,call_for_action
692,mt rescu process 1 receiv call 8820925 136 2 verifi cont,call_for_action
693,check 13c vicencio st,call_for_action
694,go north edsa northbound park lot magallan 2 santolan better c5 inroad san juan,situational_update
695,class suspend makati citi tom,situational_update
696,manila declar state calam 60 percent citi flood,situational_update
697,class level suspend today aug 9 ncr,situational_update
698,famili brgi pulo valenzuela citi need food water help,call_for_action
699,day 2 relief op accept kind donationref photo info,donation
700,pl save 7 dog 60 f manalo st brgi calzadatipa taguig contact 0917551198,call_for_action
701,need list relief locat cavit esp bacoor,call_for_action
702,yup accdg qc mayor herbert bautista announc cancel class level friday,situational_update
703,pagasa 1220pm advisori rainfal warn signal metro manila termin yay,situational_update
704,san sebastian collegerecoleto de manila accept donationpl ht,call_for_action
705,aug8manila red alert disast,situational_update
706,huge crack edsa southbound near connecticutpetron,situational_update
707,pagasa retain yellow warn metro manila expect moder heavi rain,situational_update
708,pagasa 1220pm advisori rainfal warn signal metro manila termin,situational_update
709,donat red cross text amp paypal help victim habagat pl donat red cross paypal pl visit h,call_for_action
710,mandaluyong amp san juan suspend class level public amp privat aug 9,situational_update
711,sun metro manila rain lingayen,situational_update
712,techbiz toshiba donat p5m ph flood relief effort,donation
713,class quezon citi friday level,situational_update
714,marikina state calam,situational_update
715,l spokesman kneedeep flood street level quirino,situational_update
716,uaampp need can good,call_for_action
717,ateneo h need food contain oper halt contain,call_for_action
718,lszdjlsdkfjkasj marco highway masinag marikina passabl nooooooooooooooooooo,situational_update
719,lsg pre aict nispero qc mayor suspend class level friday,situational_update
720,8 floodgat manggahan floodway remain open allow water flow marikina river laguna lake,situational_update
721,flood ale 700am august 9,situational_update
722,correct class qc suspend level,situational_update
723,number code lift tomorrow aug 9,situational_update
724,marikina river water level go 1847 meter,situational_update
725,help flood victim donat philippin red cross,call_for_action
726,adm02 quezon citi suspend class level public privat friday,situational_update
727,san juan branch need help donationneed,call_for_action
728,bu cross cainta junction let hope zero rain later,situational_update
729,inform public code green pagasa rainfal warn system chang orang cont ht,situational_update
730,adm02 paranaqu suspend class level public privat tomorrow,situational_update
731,antipolo citi class suspend level,situational_update
732,san juan state calam class tomorrow level public privat,situational_update
733,rescu ongo attent incom rescu request send,situational_update
734,pl send help bagong silang cont,call_for_action
735,wake away low lie area marikina river includ tumana provid,situational_update
736,philippin flood water rise laguna center,situational_update
737,bulacan state calam,situational_update
738,sasaa accept donationflood victim drop donationa alumnu offic,call_for_action
739,noticether big crack mid edsa south bound infront connecticut,situational_update
740,class aug 9 ust,situational_update
741,quirino nagtahan clear jp laurel street likewis floodfre,situational_update
742,rescu tweet lastnyt w lil food light pl help 22 everlast,call_for_action
743,big crack petron connecticut repair,situational_update
744,emerg hotlin,situational_update
745,araneta e rodriguez manila passabl type vehicl,situational_update
746,class ff area remain suspend tom,situational_update
747,class marikina citi tomorrow august 10 suspend,situational_update
748,flood updat 955am marco highway filinvest kneedeep,situational_update
749,class tom aug 9 navota mandaluyong olongapo valenzuela citi san mateo,situational_update
750,san juan state calam class tomorrow level public amp privat,situational_update
751,area state calam laguna,situational_update
752,woke got lot messag forc evacu marikina river reach maximum level,situational_update
753,remind big hole edsa connecticut southbound 1st 3rd lane pl drive care area avoid accid,situational_update
754,1035am south mla commut trip resum pm train airblast dri part inund,situational_update
755,clean feu manila campu start flood insid,situational_update
756,12k prison muntinlupa jail gave meal food donat flood victim hundr,donation
757,rescu diver need 101 kapiligan st dona imelda qc contact apin campo 09164925927 pl,call_for_action
758,massiv cloud bring rain metro manila,situational_update
759,pasig traffic 64300007245813,situational_update
760,send donationcfc ffl home offic apartel 12 star mall shaw blvd,call_for_action
761,bay breez taguig waist deep c6 passabl type vehicl e servic rd cross passabl,situational_update
762,class suspend level friday qcmayor herbert bautista radio interview,situational_update
763,intens rain 2 hr part ncr,situational_update
764,help pl pl save 7 dog 60 f manalo st brgi calzadatipa taguig contact 0917551198 htt,call_for_action
765,philippin appeal flood aid million govern call help rush f,donation
766,employe resid manila avail calam loan,situational_update
767,flood ale araneta e rodriguez manila passabl type vehilc,situational_update
768,pl spread help find man,call_for_action
769,pl help peopl virgo,call_for_action
770,adm02 marikina suspend class level public privat friday,situational_update
771,bottl water need uaampp donationaccept 247,donation
772,plz help famili callo compound,call_for_action
773,seen flood hazard map metro manila,situational_update
774,class tom navota mandaluyong olongapo valenzuela citi san mateo,situational_update
775,advisori araneta maria clara manila passabl,situational_update
776,adm02 antipolo suspend class level public privat tomorrow,situational_update
777,number code lift today metro manila includ makati,situational_update
778,mayor alfredo lim said class manila tomorrow,situational_update
779,urgent appeal help uerm qcampdelo santo medic center qc need diesel gener immedi f,call_for_action
780,dost pagasa 0525pm 0500pm observ torrenti rainfal 400550 mmhr qc cont,situational_update
781,pl use unifi hashtag relief op request 4 rescu success rescu,call_for_action
782,rain add philippin flood woe,situational_update
783,citi govern taguig mayor lani cayetano suspend class tomorrow,situational_update
784,palac suspend class,situational_update
785,administr class diliman friday,situational_update
786,rizal class k h ff area tom,situational_update
787,stand class level entir provinc cavit guid accordingli,situational_update
788,emerg hotlin share stay safe,situational_update
789,hello help victim flood help invit friend cont,call_for_action
790,pagasa rainfal warn signal yellow mean monitor,situational_update
791,suspens class quezon citi manila announc 710 pm mayor herbert mayor lim naman,situational_update
792,adm02 antipolo citi suspend class level public privat tomorrow,situational_update
793,taguig class suspend level,situational_update
794,ue presid ester garcia suspend class level ue manila ue caloocan tomorrow,situational_update
795,flood ale marco hiway masinag,situational_update
796,flood ale pgh san andr manilapass 1230pm,situational_update
797,laguna bay water rise affect barangay cabuyao laguna,situational_update
798,mc 34 class level suspend tom,situational_update
799,pasig citi class suspend,situational_update
800,appeal help million philippin flood victim geo world,situational_update
801,pl ateneo law relief op 3f 20 rockwel dr,donation
802,malacaang announc class suspens ncr area thursday,situational_update
803,ab safe makati quezon citi passabl edsa avoid underpass ptuazon,situational_update
804,photoshoot fundrais flood victim gt,donation
805,la mesa overflow,situational_update
806,330pm small rain cloud spot manila bay expect light,situational_update
807,class suspend tomorrow,situational_update
808,ye flood ale tramoortiga extn pasig life home passabl type vehicl 135pm,situational_update
809,12k prison muntinlupa jail gave meal yesterday food donat 2 flood victim abou,situational_update
810,quezon citi suspend preschoolcolleg class aug 9,situational_update
811,pl help peopl barangka nation h boni ave barangka,call_for_action
812,tip news advisori tipqc class tomorrow,situational_update
813,class bacoor,situational_update
814,19 peopl die sever flood philippin capit,situational_update
815,red warn signal,situational_update
816,govern philippin rais alert level red metro manila,situational_update
817,500 relief good deploy marikina team marikina,situational_update
818,palmerahills1 taytay rizal need help landslideoth hous danger,call_for_action
819,1215pm marikina river water level decreas 188m 192m 1115am,situational_update
820,red cross paranaqu citi branch accept cashin kind donationaffect famili hotlin 8364790,situational_update
821,mayor gomez san juan citi suspend class level tomorrow,situational_update
822,san juan citi declar state calam class level tom,situational_update
823,state calam declar pasig citi,situational_update
824,confirm class tomorrow thursday,situational_update
825,class level suspend ncr,situational_update
826,good morn bubba lab marikina height accept donationcloth,situational_update
827,palac suspend class august 9 level ncr,situational_update
828,ican news mr liamzon sr dina said class resum tomorrow august 10,situational_update
829,citi metro manila suspend class level tomorrow,situational_update
830,manila cityhal resum work tomorrow,situational_update
831,flood ale araneta victori manila passabl type vehicl,situational_update
832,mc34 suspend class aug 9 ncr,situational_update
833,help doesnt stop need donation1000 famili affect brgyin lower antipolo pl,call_for_action
834,marikina river water level ea,situational_update
835,flood ale c5 eagl st sm hypermart pasig passabl vehicl,situational_update
836,fair tear fear donat proce concert merch flood,situational_update
837,citi manila state calam,situational_update
838,marikina river water level sto nino station 1867 meter 720 pm,situational_update
839,cainta flood subsid rain hope thing gonna better,situational_update
840,marikina water level sto nino station 203 meter look like downward trend previou measur,situational_update
841,declar suspens work manila citi hall tomorrow,situational_update
842,accord lycesgo class lpu manila resum tomorrow pastilan oy,situational_update
843,phl seek help aid 2 million flood victim read,donation
844,rainfal warn signal metro manila termin issu 1220 pm,situational_update
845,peopl need help text 09051456217 09293510068 09323608563 retweetrepost,call_for_action
846,manila mayor lim confirm class suspens tomorrow aug 9 level public privat 618pm,situational_update
847,peopl need help text 09051456217 09293510068 09323608563,call_for_action
848,5 sale week donat affect thought amp prayer http,emotional_support
849,pl help gemini st villariva subd stodomingo cainta rizal strand,call_for_action
850,0525pm 0500pm observ torrenti rainfal 400550 mmhr qc marikina,situational_update
851,man accnt mo want volunteerdon tweet add fb rizal reliefop,situational_update
852,hipl announc dt philcar accept relief goodsdropoff pt philplan bldg lobbi,situational_update
853,donat red cross sma text redltamountgt 4143 10,donation
854,urgent noticether big crack mid edsa sb frnt f petron connecticut,situational_update
855,stamesa passabl padr zamora bridg flood pandacan area neckdeep 840am,situational_update
856,pl send help provid marikina area,call_for_action
857,class level san beda colleg manila rizal remain suspend tomorrow,situational_update
858,weather blue sky araneta ave cor aurora blvd 200pm 8912,situational_update
859,accord recent report mmda life home cainta jucntion passabl type vehicl,situational_update
860,san juan citi class suspend,situational_update
861,latest weather updat visit,situational_update
862,cmcsc updat class quezon citi friday level,situational_update
863,pagasa expect weather improv overnight school tomorrow work govern,situational_update
864,everyon refer pagasa colorcod warn signal,situational_update
865,dine wee nam kee branch august 13 donat flood victim 100 proce phil,donation
866,marikina river water level 1847m,situational_update
867,accept donationflood victim,donation
868,confirm class suspend tomorrow,situational_update
869,mayor lim 60 manila road flood,situational_update
870,far good rockwel qc katipunanwhit plainsedsa jp rizalestrella passabl,situational_update
871,ortiga extens rosario flood part marick junction kneehigh floodjunct,situational_update
872,advisori number code lift tomorrow aug 9,situational_update
873,emerg hotlin,situational_update
874,marikina river rise midnight 12mn 1879m,situational_update
875,manila state calam stay safe thomasian,situational_update
876,class tomorrow bacoor,situational_update
877,preschool high school class public school manila suspend aug10 friday privat school ad,situational_update
878,pl drink waterfoodno help coming898bluediamondsubdsnvincentestotomaspampangaattyrueda,call_for_action
879,cubao underpass close traffic,situational_update
880,air radio need announc,situational_update
881,pagasa replac green orang chang warn system red,situational_update
882,flood ale marco hiway filinvest marikina passabl vehicl,situational_update
883,flood ale edsa p tuazon tunnel bound passabl vehicl altern rout,situational_update
884,dioces ask assist flood victim,call_for_action
885,follow area state calam,situational_update
886,note version mc 34 forthcom read statement,situational_update
887,help harvi ong famili 136 riversid st st mari provid marikina,situational_update
888,peopl r suffer dehydr amp hypothermia bancal meyc bulacan foodampwatern,situational_update
889,quezon citi mayor herbert bautista announc cancel class level friday,situational_update
890,palac suspend class level ncr,situational_update
891,need donationateneo school medicin public health uaampp school locat ortiga district,call_for_action
892,manila u drop donationlowergrnd event cntr sm megamal k m divin lee,donation
893,pl help send food obando bulacan badli need food clean water,call_for_action
894,big hole edsa connecticut southbound 1st 3rd lane pl drive care area avoid accid,situational_update
895,pl help bulacan evacu center need readytoeat food water,call_for_action
896,class advisori class manila resum tom diliman,situational_update
897,palac suspend class aug 9 metro manila sourc,situational_update
898,help drop kind donationceu school law makati,call_for_action
899,flood ale tramoortiga extn pasig life home passabl type vehicl 135pm,situational_update
